#bonds	N(n->n+1)	roughness	kon(n->n+1)	koff(n->n-1)	K2D(n->n+1)	NR(NL)	Lx(Ly)	K
1	24731	0.4712	  3.832e-01	  1.299e-03	    295.00	3	15	1
2	17082	0.4720	  4.037e-01	  1.285e-03	    314.20	3	15	1
2	11167	0.7423	  3.888e-01	  1.301e-03	    298.90	6	30	1
3	11453	0.7426	  4.002e-01	  1.298e-03	    308.40	6	30	1
3	19916	1.3245	  3.540e-01	  1.292e-03	    274.10	12	60	1
4	26493	1.3148	  3.865e-01	  1.313e-03	    294.40	12	60	1
6	10753	1.2958	  3.859e-01	  1.293e-03	    298.60	12	60	1
5	21892	1.3016	  3.985e-01	  1.310e-03	    304.30	12	60	1
4	15794	1.8779	  3.463e-01	  1.317e-03	    263.00	18	90	1
5	17520	1.8300	  3.501e-01	  1.309e-03	    267.50	18	90	1
6	14284	1.8086	  3.602e-01	  1.292e-03	    278.80	18	90	1
3	11645	2.2000	  2.705e-01	  1.294e-03	    209.00	22	120	1
4	14748	2.1531	  2.914e-01	  1.313e-03	    222.00	22	120	1
5	13900	2.1100	  3.083e-01	  1.309e-03	    235.60	22	120	1
6	9837	2.0678	  3.126e-01	  1.303e-03	    240.00	22	120	1
4	5643	2.4203	  2.694e-01	  1.301e-03	    207.10	30	150	1
5	6621	2.3350	  2.748e-01	  1.318e-03	    208.50	30	150	1
6	6122	2.3003	  2.856e-01	  1.289e-03	    221.60	30	150	1
