# frame  R_idx  L_idx   Re    Re2
0 0 1 15.599895 243.356728
0 2 3 16.016582 256.530900
0 8 9 16.400632 268.980736
0 12 13 16.064745 258.076036
0 18 19 15.464314 239.145021
0 20 21 15.241009 232.288365
0 26 27 15.966553 254.930825
0 28 29 16.082295 258.640216
1 0 1 16.012608 256.403613
1 2 3 15.523694 240.985064
1 8 9 15.880267 252.182869
1 12 13 15.967561 254.963016
1 18 19 16.161833 261.204842
1 20 21 16.179428 261.773880
1 26 27 15.843863 251.027990
1 28 29 15.267807 233.105941
2 0 1 16.746742 280.453357
2 2 3 16.253673 264.181876
2 8 9 15.779167 248.982116
2 12 13 15.842973 250.999796
2 18 19 15.412597 237.548157
2 20 21 16.125783 260.040878
2 26 27 16.002314 256.074056
2 28 29 15.270619 233.191800
3 0 1 16.444784 270.430934
3 2 3 15.926043 253.638836
3 8 9 15.730271 247.441421
3 12 13 16.421034 269.650356
3 18 19 15.888894 252.456949
3 20 21 15.977352 255.275781
3 26 27 15.499853 240.245429
3 28 29 15.829148 250.561925
4 0 1 16.124439 259.997521
4 2 3 15.108025 228.252429
4 8 9 15.763528 248.488800
4 12 13 16.147189 260.731709
4 18 19 16.391345 268.676182
4 20 21 16.150255 260.830749
4 26 27 15.736170 247.627049
4 28 29 16.021093 256.675410
5 0 1 16.501909 272.312998
5 2 3 15.491844 239.997216
5 12 13 16.292983 265.461300
5 18 19 16.528947 273.206081
5 20 21 15.667560 245.472421
5 26 27 16.475978 271.457844
5 28 29 15.364196 236.058530
6 0 1 15.683030 245.957430
6 2 3 15.846645 251.116164
6 12 13 15.878819 252.136901
6 18 19 15.239479 232.241729
6 20 21 15.857585 251.462990
6 26 27 16.080494 258.582296
6 28 29 15.983890 255.484725
7 0 1 16.196678 262.332393
7 2 3 15.874655 252.004661
7 8 9 16.113696 259.651204
7 12 13 16.065464 258.099149
7 18 19 16.064748 258.076129
7 20 21 15.507517 240.483085
7 26 27 16.025631 256.820836
7 28 29 15.241793 232.312244
8 0 1 15.756162 248.256650
8 2 3 15.138690 229.179925
8 8 9 15.852755 251.309844
8 12 13 15.708768 246.765384
8 18 19 16.145772 260.685956
8 20 21 15.292216 233.851884
8 26 27 15.389870 236.848100
8 28 29 15.710876 246.831621
9 0 1 15.922997 253.541833
9 8 9 15.734246 247.566500
9 12 13 15.671450 245.594341
9 18 19 16.193424 262.226969
9 20 21 15.569660 242.414301
9 26 27 15.557019 242.020836
9 28 29 15.475784 239.499896
10 0 1 15.805257 249.806161
10 2 3 16.309957 266.014709
10 8 9 15.680017 245.862941
10 12 13 15.620580 244.002504
10 18 19 15.828287 250.534669
10 20 21 15.970888 255.069268
10 26 27 16.012211 256.390916
10 28 29 15.799812 249.634061
11 0 1 15.917815 253.376825
11 2 3 16.361520 267.699325
11 8 9 16.538381 273.518041
11 12 13 15.929452 253.747444
11 18 19 15.692657 246.259469
11 20 21 16.107157 259.440518
11 26 27 16.311124 266.052761
11 28 29 15.764060 248.505593
12 0 1 16.191226 262.155792
12 2 3 15.469926 239.318601
12 8 9 16.105546 259.388616
12 12 13 16.047240 257.513925
12 18 19 15.711324 246.845700
12 20 21 16.221681 263.142938
12 26 27 16.014644 256.468824
12 28 29 15.142537 229.296441
13 0 1 15.672721 245.634198
13 2 3 15.986579 255.570704
13 8 9 15.727352 247.349609
13 12 13 16.463995 271.063124
13 18 19 16.230750 263.437238
13 20 21 15.029560 225.887672
13 26 27 15.813043 250.052333
13 28 29 16.001359 256.043485
14 0 1 15.585195 242.898309
14 2 3 15.788148 249.265604
14 8 9 16.048441 257.552449
14 12 13 15.956075 254.596329
14 18 19 15.809286 249.933521
14 20 21 15.959277 254.698514
14 26 27 15.761444 248.423105
14 28 29 15.795131 249.486165
15 0 1 16.104037 259.340022
15 2 3 15.956861 254.621400
15 8 9 15.650994 244.953625
15 12 13 16.045664 257.463321
15 18 19 16.076246 258.445700
15 20 21 15.729726 247.424274
15 26 27 15.894758 252.643325
15 28 29 16.051174 257.640177
16 0 1 16.140965 260.530749
16 2 3 15.626373 244.183521
16 8 9 15.709106 246.776016
16 12 13 16.015022 256.480944
16 18 19 16.424150 269.752689
16 20 21 16.216574 262.977284
16 26 27 16.157532 261.065833
16 28 29 16.136384 260.382890
17 0 1 15.782693 249.093400
17 2 3 15.060875 226.829961
17 8 9 16.208349 262.710576
17 12 13 15.558303 242.060801
17 18 19 16.318900 266.306505
17 26 27 15.861642 251.591700
17 28 29 16.125035 260.016760
18 0 1 15.654710 245.069933
18 2 3 15.835208 250.753800
18 8 9 15.392093 236.916525
18 12 13 16.157388 261.061176
18 18 19 16.402387 269.038298
18 20 21 15.838018 250.842828
18 28 29 15.928442 253.715261
19 0 1 15.865299 251.707725
19 2 3 16.138354 260.446464
19 8 9 15.792435 249.401004
19 12 13 15.885091 252.336121
19 18 19 16.296784 265.585176
19 20 21 15.838415 250.855405
19 28 29 16.113160 259.633932
20 0 1 16.125132 260.019896
20 2 3 16.062783 258.012996
20 8 9 15.061969 226.862909
20 12 13 16.170673 261.490664
20 18 19 15.725775 247.300000
20 20 21 15.997736 255.927545
20 28 29 15.879783 252.167522
21 0 1 16.082867 258.658610
21 2 3 16.315172 266.184825
21 8 9 16.281992 265.103264
21 12 13 16.505499 272.431501
21 18 19 16.404714 269.114641
21 20 21 15.726812 247.332610
21 28 29 15.870251 251.864865
22 0 1 15.653569 245.034230
22 2 3 16.067083 258.151169
22 8 9 16.280638 265.059189
22 12 13 15.932980 253.859861
22 18 19 16.397664 268.883369
22 20 21 16.196945 262.341038
22 28 29 16.461722 270.988278
23 0 1 15.999279 255.976918
23 2 3 16.099460 259.192624
23 8 9 16.256635 264.278196
23 12 13 15.807501 249.877076
23 18 19 16.736768 280.119400
23 20 21 16.131196 260.215498
23 28 29 16.129253 260.152790
24 0 1 15.669454 245.531801
24 2 3 15.303857 234.208049
24 8 9 16.110223 259.539300
24 12 13 15.992729 255.767384
24 16 17 14.968233 224.048001
24 18 19 15.862258 251.611241
24 20 21 16.028271 256.905484
24 28 29 15.927997 253.701100
25 0 1 15.992245 255.751908
25 2 3 15.586043 242.924741
25 8 9 16.093971 259.015896
25 12 13 15.798322 249.586964
25 16 17 16.549103 273.872804
25 18 19 15.815240 250.121816
25 20 21 15.535342 241.346846
25 26 27 15.611826 243.729104
25 28 29 16.054893 257.759601
26 0 1 16.468866 271.223540
26 2 3 15.719073 247.089241
26 8 9 16.030572 256.979241
26 12 13 15.862035 251.604161
26 16 17 15.849974 251.221676
26 18 19 15.910246 253.135924
26 20 21 16.136221 260.377642
26 26 27 15.741979 247.809896
26 28 29 15.504133 240.378125
27 0 1 16.269240 264.688185
27 2 3 15.275235 233.332809
27 8 9 16.113236 259.636369
27 12 13 15.657172 245.147049
27 16 17 15.836212 250.785604
27 18 19 15.889311 252.470200
27 20 21 16.560276 274.242737
27 26 27 15.726083 247.309689
27 28 29 15.666684 245.445000
28 0 1 15.936900 253.984797
28 2 3 15.941302 254.125100
28 8 9 15.490795 239.964725
28 12 13 16.428771 269.904504
28 16 17 16.010970 256.351161
28 18 19 16.039984 257.281076
28 20 21 15.890159 252.497165
28 26 27 14.114297 199.213384
28 28 29 16.159650 261.134282
29 0 1 15.993263 255.784457
29 2 3 15.836040 250.780176
29 8 9 16.328430 266.617616
29 12 13 16.336432 266.879001
29 16 17 15.665105 245.395529
29 18 19 15.694155 246.306500
29 20 21 15.951394 254.446957
29 26 27 15.229763 231.945689
29 28 29 16.316587 266.231025
30 0 1 16.031858 257.020469
30 2 3 15.723022 247.213425
30 8 9 15.938894 254.048336
30 12 13 16.122913 259.948324
30 16 17 15.854430 251.362961
30 18 19 15.884209 252.308100
30 20 21 15.736339 247.632376
30 26 27 16.037768 257.210016
30 28 29 15.850292 251.231753
31 0 1 16.365737 267.837345
31 2 3 15.107870 228.247736
31 8 9 15.832885 250.680236
31 12 13 16.090246 258.896001
31 16 17 15.557665 242.040941
31 18 19 16.271684 264.767684
31 20 21 16.180476 261.807792
31 26 27 15.811132 249.991901
31 28 29 16.031487 257.008568
32 0 1 15.847167 251.132717
32 2 3 15.493435 240.046529
32 4 7 16.004456 256.142600
32 8 9 15.927792 253.694549
32 12 13 16.290497 265.380296
32 16 17 15.458437 238.963276
32 18 19 16.219091 263.058909
32 20 21 15.889567 252.478349
32 26 27 15.889512 252.476600
32 28 29 16.006740 256.215720
33 0 1 15.757044 248.284441
33 2 3 15.958209 254.664449
33 4 7 15.675979 245.736324
33 8 9 16.083928 258.692741
33 12 13 16.786242 281.777936
33 16 17 15.600287 243.368964
33 18 19 15.721878 247.177445
33 20 21 15.526408 241.069338
33 26 27 15.544798 241.640756
33 28 29 15.895113 252.654628
34 0 1 16.155781 261.009257
34 2 3 16.231146 263.450101
34 4 7 16.044501 257.426025
34 8 9 15.655678 245.100250
34 12 13 15.782254 249.079541
34 16 17 15.913213 253.230356
34 18 19 15.410827 237.493597
34 20 21 16.074738 258.397190
34 26 27 14.907631 222.237464
34 28 29 16.188370 262.063314
35 0 1 16.074949 258.403970
35 2 3 15.769510 248.677461
35 4 7 15.836388 250.791189
35 8 9 15.927193 253.675476
35 12 13 15.937918 254.017236
35 16 17 15.798047 249.578296
35 18 19 15.868269 251.801970
35 20 21 15.906538 253.017942
35 26 27 15.658459 245.187344
35 28 29 15.949049 254.372169
36 2 3 15.651137 244.958104
36 4 7 15.671393 245.592549
36 8 9 16.314749 266.171025
36 12 13 15.353853 235.740800
36 16 17 15.869153 251.830004
36 18 19 15.629166 244.270816
36 20 21 16.142269 260.572846
36 26 27 16.200782 262.465329
36 28 29 16.107280 259.444456
37 2 3 16.097256 259.121636
37 4 7 15.370699 236.258376
37 8 9 15.812966 250.049900
37 12 13 15.879865 252.170101
37 16 17 15.769779 248.685941
37 18 19 15.998632 255.956210
37 20 21 15.754374 248.200301
37 26 27 16.145874 260.689236
37 28 29 16.038988 257.249141
38 2 3 15.977377 255.276581
38 4 7 15.955013 254.562429
38 8 9 15.213415 231.448009
38 12 13 16.445727 270.461921
38 16 17 16.219141 263.060549
38 18 19 15.783626 249.122840
38 20 21 16.217171 262.996633
38 26 27 16.214732 262.917541
38 28 29 15.787676 249.250718
39 4 7 16.504094 272.385125
39 8 9 16.068668 258.202100
39 12 13 16.134571 260.324381
39 16 17 15.364225 236.059400
39 18 19 16.223305 263.195622
39 26 27 16.023314 256.746584
39 28 29 15.563271 242.215405
40 2 3 15.843796 251.025876
40 4 7 15.720210 247.125000
