# frame	protein_index	rx	ry	rz	r
0	10	-0.080000	1.330000	-6.814000	6.943047
0	16	-0.440000	-1.782200	-5.841000	6.122672
0	24	-0.910000	-2.150000	-6.626900	7.026123
0	26	-2.970000	-2.120000	-5.751000	6.810969
0	7	3.010000	4.083000	-4.845100	7.014698
0	9	2.500000	0.420000	-6.639700	7.107181
0	19	-0.670000	-0.990000	-6.839700	6.943378
0	25	2.640000	0.940000	-6.505100	7.083045
1	10	-0.520000	-0.430000	-6.619000	6.653305
1	16	-1.200000	0.191000	-6.757000	6.865386
1	24	-2.080000	0.870000	-7.008900	7.362607
1	26	-1.180000	-0.870000	-6.973700	7.126134
1	7	3.060000	3.623000	-5.051000	6.928371
1	9	0.970000	-1.830000	-6.825100	7.132446
1	19	2.530000	0.300000	-5.469000	6.033313
1	25	2.170000	-0.300000	-6.633000	6.985384
2	10	0.870000	1.010000	-6.608000	6.741117
2	16	-1.000000	-2.335000	-6.516000	6.993603
2	24	-3.310000	1.130000	-5.876000	6.838156
2	26	-2.090000	-2.820000	-5.971900	6.927055
2	7	4.530000	1.143000	-5.376000	7.122410
2	9	2.470000	-2.680000	-6.150000	7.148832
2	19	0.640000	-1.570000	-6.039000	6.272481
2	25	0.840000	0.650000	-6.944220	7.024976
3	10	-3.820000	-1.790000	-5.479000	6.914907
3	16	-4.440000	-1.586000	-5.010000	6.879615
3	24	-2.520000	1.960000	-5.713000	6.544492
3	26	-0.720000	-1.540000	-6.852640	7.060359
3	7	1.440000	2.065000	-6.956000	7.397551
3	9	-0.990000	-1.440000	-7.031000	7.244906
3	19	2.730000	-0.080000	-5.964700	6.560255
3	25	1.630000	-1.840000	-6.589500	7.033065
4	10	-2.970000	1.860000	-5.665000	6.661286
4	16	-0.850000	-1.927600	-6.408000	6.745414
4	24	-1.520000	1.720000	-6.336000	6.738968
4	26	-1.420000	-3.160000	-5.944600	6.880427
4	7	2.600000	3.420000	-5.621000	7.074747
4	9	1.150000	0.740000	-6.862000	6.996938
4	19	2.120000	0.800000	-7.023100	7.379589
4	25	0.990000	0.770000	-6.942900	7.055272
5	10	-1.000000	1.210000	-6.914000	7.089957
5	16	-3.640000	0.119000	-5.560000	6.646605
5	24	-1.950000	1.070000	-6.131000	6.522006
5	26	-0.430000	-2.200000	-6.776700	7.137826
