# frame	protein_index	rx	ry	rz	r
0	0	3.990000	1.130000	-4.840000	6.373586
0	2	-2.258000	2.380000	-5.516000	6.417883
0	4	-5.380000	-1.470000	-3.660000	6.670899
0	6	2.430000	1.320000	-4.016000	4.876018
0	8	-0.170000	-4.276000	-2.520000	4.966234
0	12	-5.400000	-1.070000	-4.780200	7.290762
0	14	-0.531000	-0.540000	-6.377000	6.421814
0	18	-3.450000	2.719900	-3.547000	5.646376
0	20	-1.990000	-1.670000	-5.858000	6.408211
0	22	3.730000	-2.530000	-3.405000	5.648701
0	28	2.525000	1.720000	-6.479000	7.163202
0	1	-0.900000	-0.270000	-7.217000	7.277911
0	3	2.590000	1.035000	-5.970000	6.589402
0	5	3.829000	4.080000	-3.967000	6.858916
0	11	-1.280000	2.290000	-4.829000	5.495611
0	13	-0.820000	-3.130000	-5.597000	6.464960
0	15	0.220000	-4.560000	-5.156000	6.886678
0	17	-2.980000	-2.010000	-5.737000	6.770057
0	21	2.740000	1.880000	-6.193000	7.028175
0	23	3.820000	-0.980000	-4.356000	5.876014
0	27	1.170000	3.534000	-5.774400	6.870353
0	29	1.760000	-1.620000	-6.891300	7.294657
1	0	-2.530000	3.870000	-4.533000	6.475020
1	2	-1.235000	1.570000	-6.264700	6.575454
1	4	0.330000	2.700000	-6.254600	6.820478
1	6	0.890000	0.040000	-6.145540	6.209780
1	8	-1.430000	0.143000	-7.165000	7.307706
1	12	-5.330000	-1.020000	-3.852000	6.654863
1	14	4.128000	-1.010000	-5.220900	6.731885
1	18	-2.910000	0.412800	-6.534400	7.164976
1	20	0.230000	3.350000	-6.473000	7.292128
1	22	-0.860000	2.270000	-6.407000	6.851434
1	28	-1.463160	2.589000	-6.476000	7.126172
1	1	-3.060000	3.570000	-3.929000	6.127442
1	3	1.180000	0.494000	-7.084000	7.198576
1	5	3.802000	2.280000	-5.511300	7.073050
1	11	-0.940000	0.420000	-7.119000	7.193063
1	13	1.510000	-1.050000	-6.827000	7.070398
1	15	0.490000	2.620000	-6.323000	6.861839
1	17	-1.300000	2.590000	-6.047000	6.705543
1	21	-2.200000	-1.487000	-6.313900	6.849562
1	23	-3.610000	-3.900000	-3.408000	6.313206
1	27	-0.600000	4.950300	-4.742000	6.881281
1	29	-1.130000	6.400000	-1.702000	6.718162
2	0	3.800000	3.700000	-2.788000	5.991907
2	2	-1.833000	-2.200000	-5.499900	6.200709
2	4	3.310000	-0.920000	-6.183000	7.073329
2	6	-1.350000	-2.400000	-6.429000	6.993893
2	8	0.720000	1.750000	-6.241000	6.521578
2	12	-3.630000	3.280000	-3.564000	6.052883
2	14	1.410000	4.420000	-4.506000	6.467498
2	18	-3.030000	-1.185500	-5.649000	6.519012
2	20	-2.390000	-2.180000	-6.114000	6.917044
2	22	0.260000	-4.660000	-5.040000	6.869119
2	28	-0.919400	-0.165000	-7.116000	7.177045
2	1	1.970000	5.125000	-3.077000	6.294001
2	3	0.340000	0.317900	-6.924000	6.939628
2	5	1.553000	-3.080000	-6.195800	7.091273
2	11	-2.780000	4.170000	-2.250000	5.493614
2	13	-0.200000	-6.190000	-3.021000	6.890758
2	15	0.450000	5.970000	-3.965000	7.180851
2	17	-2.190000	1.940000	-6.178000	6.835743
2	21	3.590000	0.810000	-5.004000	6.211619
2	23	-2.170000	0.730000	-6.028000	6.448146
2	27	1.580000	-0.187000	-6.918100	7.098695
2	29	4.020000	-1.750000	-4.679000	6.412171
3	0	0.090000	3.330000	-4.538000	5.629427
3	2	1.736000	-1.780000	-5.833600	6.341371
3	4	-4.030000	-0.520000	-5.288000	6.668901
3	6	2.640000	4.130000	-4.802600	6.862322
3	8	-3.440000	-4.765000	-2.991000	6.594309
3	12	-1.300000	-4.360000	-4.418900	6.342419
3	14	0.400000	0.160000	-6.666000	6.679907
3	18	-0.730000	-1.919000	-6.507510	6.823719
3	20	3.870000	-2.940000	-4.061000	6.333421
3	22	-2.610000	-1.080000	-6.033000	6.661501
3	28	0.626000	-3.914000	-4.173200	5.755595
3	1	-4.610000	0.330000	-3.981000	6.099948
3	3	-0.780000	-3.629900	-6.190000	7.218080
3	5	0.560000	2.940000	-5.606300	6.355140
3	11	0.100000	-0.130000	-7.413400	7.415214
3	13	-0.250000	-3.880000	-5.756000	6.946109
3	15	0.650000	-0.490000	-6.526000	6.576570
3	17	5.870000	0.750000	-2.803000	6.547993
3	21	-1.770000	0.090000	-7.159700	7.375792
3	23	2.320000	5.530000	-3.329000	6.858975
3	27	-4.210000	2.420500	-3.713000	6.113043
3	29	2.610000	4.250000	-5.482000	7.411270
4	0	-0.550000	4.830000	-4.525000	6.641312
4	2	0.903000	-2.140000	-6.316400	6.729927
4	4	-1.370000	-2.400000	-5.696000	6.330981
4	6	1.720000	4.880000	-1.379000	5.354852
4	8	3.990000	-2.445000	-3.654000	5.937158
4	12	-1.330000	-0.830000	-6.969000	7.143162
4	14	2.220000	-1.230000	-5.792500	6.324109
4	18	3.170000	1.368900	-6.002000	6.924362
4	20	0.260000	-2.880000	-6.058600	6.713318
4	22	2.370000	-0.810000	-5.873000	6.384758
4	28	4.071000	-3.143000	-4.294000	6.699994
4	1	-0.330000	-0.080000	-6.399800	6.408802
4	3	1.610000	5.821100	-3.181000	6.826131
4	5	5.329000	-0.060000	-2.482000	5.878960
4	11	1.300000	0.920000	-7.139000	7.314487
4	13	3.330000	0.590000	-5.426000	6.393628
4	15	2.470000	-3.800000	-5.650000	7.243162
4	17	-0.220000	1.410000	-6.662000	6.813130
4	21	2.160000	0.240000	-6.436400	6.793412
4	23	-6.370000	0.570000	-2.826000	6.992001
4	27	1.100000	2.864880	-5.277500	6.104879
4	29	-1.580000	2.140000	-6.579000	7.096425
5	0	1.620000	3.680000	-5.234000	6.600118
5	2	-1.868000	2.020000	-6.014600	6.614018
5	4	-1.420000	6.570000	-2.728000	7.254191
5	6	-1.370000	4.320000	-4.759800	6.572290
5	8	-2.500000	-1.030000	-6.200000	6.763941
5	12	-3.050000	-2.270000	-5.551000	6.728224
5	14	4.187000	1.710000	-5.349600	7.005233
5	18	-0.720000	5.057100	-2.912000	5.879830
5	20	2.770000	-0.880000	-6.042800	6.705426
5	22	1.740000	-1.940000	-6.443000	6.950068
5	28	-1.133000	-0.110000	-6.805500	6.900045
5	1	-1.600000	-3.840000	-5.578500	6.958826
5	3	-2.060000	0.998500	-6.634000	7.017874
5	5	3.982000	-3.280000	-3.291000	6.119265
5	11	-4.270000	-3.780000	-3.738000	6.818647
5	13	-2.210000	-3.890000	-5.281000	6.921355
5	15	0.690000	-4.200000	-5.361000	6.845175
5	17	-0.700000	3.020000	-6.500000	7.201417
5	21	-0.180000	1.050000	-7.146000	7.224972
5	23	2.910000	-1.040000	-6.095000	6.833647
5	27	4.200000	-0.537000	-5.804100	7.184424
5	29	-1.370000	5.450000	-2.612000	6.196930
6	0	0.500000	3.530000	-5.155000	6.267769
6	2	-2.171000	-0.670000	-5.950900	6.369878
6	4	-1.820000	1.560000	-6.682000	7.098952
6	6	-0.730000	0.780000	-6.819000	6.902178
6	8	3.210000	2.690000	-4.381000	6.060805
6	12	-1.540000	1.020000	-6.656000	6.907556
6	14	-0.624000	2.260000	-6.802000	7.194733
6	16	-4.210000	1.862400	-5.082000	6.857066
6	18	0.460000	0.559400	-7.138200	7.174847
6	20	-2.000000	1.760000	-6.206700	6.754312
6	22	-3.190000	-0.360000	-6.443000	7.198469
6	28	1.981000	0.953000	-6.966000	7.304637
6	1	1.790000	1.960000	-6.309100	6.844738
6	3	-0.300000	-1.852400	-6.789000	7.043572
6	5	-1.473600	-0.610000	-6.116200	6.320720
6	7	4.280000	1.668000	-5.165000	6.912152
6	11	4.290000	-2.030000	-5.183000	7.027694
6	13	4.640000	-4.700000	-2.039000	6.912100
6	15	5.150000	-2.780000	-1.971000	6.175414
6	17	0.680000	3.830000	-6.021000	7.168245
6	21	-1.780000	2.570000	-6.265100	7.001770
6	23	-3.760000	4.700000	-4.115000	7.291147
6	27	-2.630000	-3.901000	-5.082300	6.925639
6	29	-0.060000	-5.260000	-2.231000	5.713892
7	0	-4.000000	-0.290000	-4.352000	5.918108
7	2	-0.770000	3.940000	-5.740300	7.004823
7	4	1.850000	0.320000	-6.418900	6.687838
7	6	1.420000	2.520000	-5.435800	6.157493
7	8	-1.920000	5.430000	-2.736000	6.376284
7	12	-2.030000	-4.330000	-4.735000	6.729786
7	14	-2.762000	-0.810000	-5.796700	6.471976
7	16	-3.360000	-0.588200	-5.980000	6.884474
7	18	-2.750000	0.017300	-6.794000	7.329477
7	20	-1.260000	1.910000	-6.572000	6.958943
7	22	-4.220000	3.680000	-2.902000	6.306537
7	28	2.065800	0.242300	-5.900700	6.256557
7	1	1.870000	0.480000	-6.894000	7.159227
7	3	4.540000	2.000900	-4.561200	6.739417
7	5	-0.642000	5.010000	-5.454500	7.433965
7	7	4.540000	-0.374000	-3.777000	5.917534
7	11	-2.700000	2.360000	-4.836000	6.020506
7	13	-4.080000	0.230000	-3.902900	5.650834
7	15	3.220000	-1.580000	-5.842300	6.855455
7	17	4.220000	0.670000	-5.537000	6.993974
7	21	-2.220000	4.210000	-3.499000	5.907241
7	23	-3.780000	-0.830000	-6.085000	7.211416
7	27	3.990000	2.312900	-4.714000	6.594801
7	29	-1.760000	2.000000	-6.388400	6.921651
8	0	-3.450000	-2.180000	-4.966000	6.427757
