# frame	R_proto	L_proto	RB_LB_dist
0	7	16	1.385776
0	9	10	1.053391
0	19	26	1.281672
0	24	25	1.110662
1	7	16	1.044406
1	9	10	1.292807
1	19	26	1.488441
1	24	25	1.016609
2	7	16	1.370597
2	9	10	1.258014
2	19	26	1.281946
2	24	25	1.410257
3	7	16	1.367845
3	9	10	1.397462
3	19	26	1.068797
3	24	25	1.559849
4	7	16	1.296966
4	9	10	1.270970
4	19	26	1.050785
4	24	25	1.399994
5	7	16	1.277006
5	9	10	1.206350
5	19	26	1.362489
5	24	25	1.391386
6	9	10	1.385629
6	19	26	1.125653
6	24	25	1.345907
7	9	10	1.292952
7	19	26	1.385417
7	24	25	1.359265
8	9	10	1.268585
8	19	26	1.462074
8	24	25	1.008194
9	7	16	1.527176
9	9	10	1.334377
9	19	26	1.396761
9	24	25	1.354505
10	7	16	1.390678
10	9	10	1.144897
10	19	26	1.491008
10	24	25	1.312606
11	7	16	0.949529
11	9	10	1.092327
11	19	26	1.225699
11	24	25	1.260636
12	7	16	1.370111
12	9	10	1.019461
12	19	26	1.417118
12	24	25	1.057873
13	7	16	1.579293
13	9	10	1.212683
13	19	26	1.048333
13	24	25	1.315072
14	7	16	1.416778
14	9	10	1.282100
14	19	26	1.210534
15	7	16	1.150096
15	9	10	1.466580
15	19	26	1.436159
16	7	16	1.390977
16	9	10	1.063088
16	19	26	1.515043
17	7	16	1.344048
17	9	10	1.149146
17	19	26	1.300952
18	7	16	1.380030
18	9	10	1.226601
18	19	26	1.236275
18	24	25	1.136878
19	7	16	1.266585
19	9	10	1.030806
19	19	26	1.499180
19	24	25	1.421577
20	7	16	1.561386
20	9	10	1.445078
20	19	26	1.310849
20	24	25	1.411685
21	7	16	1.465972
21	9	10	1.085618
21	19	26	1.471977
21	24	25	1.474289
22	7	16	1.430150
22	9	10	1.180354
22	19	26	1.087474
22	24	25	1.390615
23	7	16	1.439555
23	9	10	1.363372
23	19	26	1.139572
23	24	25	1.034967
24	7	16	1.286674
24	9	10	1.047665
24	19	26	1.108477
24	24	25	1.229887
25	7	16	1.207750
25	9	10	1.074881
25	19	26	1.263194
25	24	25	1.198453
26	7	16	1.331821
26	9	10	1.245279
26	19	26	1.247000
26	24	25	1.442746
27	7	16	1.098532
27	9	10	1.475330
27	19	26	1.153049
27	24	25	1.317004
28	7	16	1.386572
28	9	10	1.509544
28	19	26	1.414516
28	24	25	1.208318
29	7	16	1.161503
29	9	10	1.320547
29	19	26	1.344356
29	24	25	1.166408
30	9	10	1.281880
30	19	26	1.508125
30	24	25	1.216760
31	9	10	1.053636
31	19	26	1.261683
31	24	25	1.396433
32	9	10	1.186587
32	19	26	1.147625
32	24	25	1.281661
33	9	10	1.520962
33	19	26	1.512975
33	24	25	1.307165
34	9	10	1.200302
34	19	26	1.217215
34	24	25	1.279736
35	9	10	1.512901
35	19	26	1.415380
35	24	25	1.382683
36	9	10	1.433577
36	19	26	1.289504
36	24	25	1.453903
37	9	10	1.305115
37	19	26	1.331075
37	24	25	1.268270
38	19	26	1.436087
38	24	25	1.326914
39	18	21	1.096341
39	19	26	1.083584
39	24	25	1.357770
40	18	21	1.214745
40	19	26	1.288809
40	24	25	1.164868
41	18	21	1.379966
41	19	26	1.353995
41	24	25	1.477727
42	18	21	1.391715
42	19	26	1.483791
42	24	25	1.270756
43	18	21	1.534073
43	19	26	1.118402
43	24	25	1.359335
44	18	21	1.427418
44	19	26	1.187968
44	24	25	1.409711
45	18	21	1.156792
45	24	25	1.240576
46	0	9	1.282590
46	18	21	1.315865
46	24	25	1.231144
47	0	9	1.068975
47	18	21	1.409449
47	24	25	1.201195
48	0	9	1.206352
48	18	21	1.395159
48	24	25	1.024202
49	0	9	1.090881
49	18	21	1.340319
49	24	25	1.256410
50	0	9	1.254287
50	18	21	1.484548
50	24	25	1.155526
51	0	9	1.298573
51	18	21	1.296735
51	24	25	1.114365
52	0	9	1.106709
52	18	21	1.359231
52	24	25	1.385057
53	0	9	1.059485
53	18	21	1.094009
53	24	25	1.116602
54	18	21	1.042438
54	24	25	1.341587
55	8	9	1.311558
55	18	21	1.148538
55	24	25	1.344955
56	8	9	1.439331
56	18	21	1.343231
56	24	25	1.294805
57	8	9	1.198948
57	24	25	1.279313
58	8	9	1.480542
58	24	25	1.216355
59	8	9	1.410942
59	24	25	1.449248
60	8	9	1.320010
60	24	25	1.098520
61	8	9	1.188714
61	15	22	1.431595
61	24	25	1.382966
62	8	9	1.395955
62	14	27	1.192624
62	15	22	1.307533
62	24	25	1.345572
63	8	9	1.312527
63	14	27	1.209939
63	15	22	1.376070
63	24	25	1.263558
64	8	9	1.324659
64	14	27	1.272329
64	15	22	1.160302
64	24	25	1.156341
65	8	9	1.478038
65	14	27	1.349288
65	15	22	1.268838
65	24	25	1.416934
66	8	9	1.116199
66	15	22	1.306227
66	24	25	1.387898
67	8	9	1.222335
67	15	22	1.468629
67	24	25	1.177741
68	8	9	1.284860
68	15	22	1.303744
68	24	25	1.066178
69	8	9	1.237900
69	14	27	1.425370
69	15	22	1.049489
69	24	25	1.403586
70	8	9	1.290397
70	14	27	1.085305
70	15	22	1.483374
70	24	25	1.213835
71	8	9	1.111310
71	14	27	1.510718
71	15	22	1.450742
71	24	25	1.291521
72	14	27	1.241898
72	15	22	1.458802
72	24	25	1.319294
73	14	27	1.134345
73	15	22	1.105369
73	24	25	1.264989
74	14	27	1.356767
74	15	22	1.380553
75	14	27	1.460856
75	15	22	0.997549
76	14	27	1.319901
76	15	22	1.270669
77	14	27	1.440200
77	15	22	1.208369
78	14	27	1.426762
78	15	22	1.398678
79	14	27	1.353929
79	15	22	1.301999
80	14	27	1.339708
80	15	22	1.288665
81	14	27	1.355236
81	15	22	1.106472
82	14	27	1.459144
82	15	22	1.312366
83	14	27	1.175578
83	15	22	0.977496
84	14	27	1.064451
84	15	22	1.222007
85	14	27	1.367962
85	15	22	1.045467
86	14	27	1.151245
86	15	22	1.322187
87	14	27	1.387515
87	15	22	1.517716
88	14	27	1.375800
88	15	22	119.155620
89	14	27	1.029163
89	15	22	1.215173
90	7	16	1.367607
90	14	27	1.289002
90	15	22	1.094166
91	7	16	1.142829
91	14	27	1.480245
91	15	22	1.087603
92	7	16	1.215370
92	14	27	1.181774
92	15	22	1.283595
93	7	16	1.307039
93	14	27	1.159138
93	15	22	1.068133
94	7	16	1.285006
94	14	27	1.317201
94	15	22	1.469531
95	7	16	1.224538
95	14	27	1.194142
95	15	22	1.099249
96	7	16	1.134194
96	14	27	1.013550
96	15	22	1.460775
97	7	16	1.163692
97	14	27	1.297815
97	15	22	1.410190
98	7	16	1.252425
98	14	27	1.426216
98	15	22	1.150515
99	7	16	1.377498
99	14	27	1.053838
99	15	22	1.300927
100	7	16	1.473845
100	14	27	1.275089
100	15	22	1.242193
101	7	16	1.271256
101	14	27	1.273813
101	15	22	1.470502
102	7	16	1.189242
102	14	27	1.434542
102	15	22	1.088318
103	7	16	1.121757
