# frame   <Re>    <Re^2>
0 14.441256 208.743585
1 14.646606 214.760534
2 14.418207 208.184693
3 14.604449 213.491046
4 14.743717 217.398122
5 14.853012 220.663744
6 14.702013 216.317187
7 15.122279 228.797359
8 14.674979 215.375404
9 14.767063 218.197716
10 14.687545 215.812543
11 14.669864 215.358508
12 14.596917 213.103066
13 14.435290 208.500972
14 14.855494 220.717069
15 14.380073 207.008369
16 14.781537 218.731923
17 14.294072 204.995842
18 14.575097 212.861461
19 14.679839 215.923895
20 15.189622 230.866606
21 14.869647 221.215969
22 15.049069 227.024252
23 14.588023 212.839582
24 15.039890 226.265623
25 14.873750 221.259650
26 15.541487 241.680244
27 14.487117 209.940699
28 14.412834 208.058793
29 14.566474 212.495437
30 14.591784 213.240655
31 14.963184 223.914189
32 15.168520 230.123635
33 14.570860 213.097170
34 15.135485 229.129265
35 15.090791 227.889383
36 15.137276 229.246414
37 14.939013 223.221563
38 14.698700 216.184223
39 15.049443 226.644884
40 14.567241 212.405675
41 14.682915 216.191002
42 15.155004 229.797206
43 14.630439 214.265701
44 14.812658 219.793979
45 13.653088 186.714784
46 14.015815 196.482734
47 14.238905 202.893858
48 14.587732 212.998634
49 14.687416 215.842288
50 14.935494 223.172600
51 14.630691 214.238542
52 13.803710 191.326135
53 13.753303 190.133122
54 14.472299 210.502873
55 14.311904 205.218206
56 14.625227 214.376806
57 14.172352 201.042226
58 14.936172 223.094111
59 15.155136 229.830566
60 14.792017 218.950142
61 13.887399 193.363114
62 14.335803 205.916290
63 14.503312 210.579045
64 14.412322 208.000115
65 13.979169 196.571556
66 14.897326 221.986616
67 14.455129 209.517646
68 14.491218 210.151834
69 14.040557 197.891304
70 14.305688 205.214068
71 14.375907 206.839451
72 15.005882 225.353715
73 15.062359 227.379638
74 13.975590 195.490436
75 14.486207 209.999650
76 14.802189 219.132961
77 14.909437 222.583114
78 14.263300 203.476623
79 13.905004 193.366200
80 14.216206 202.124278
81 14.250872 203.475275
82 14.942896 223.290901
83 14.405541 207.556618
84 14.466948 209.297707
85 14.873275 221.302115
86 14.339335 206.111802
87 15.081130 227.529438
88 14.489587 209.996362
89 14.339628 205.681118
90 14.807711 219.343046
91 14.773472 218.321660
92 14.683052 215.612539
93 14.349069 206.267321
94 14.709707 216.520496
95 14.188045 201.455062
96 14.411341 207.808159
97 14.377207 206.848687
98 14.702623 216.710361
99 14.570019 212.731810
100 14.981501 224.662615
101 14.999283 225.081855
102 14.797808 219.045570
103 14.637044 214.282317
104 14.459632 209.156275
105 14.965791 224.187109
106 14.576471 212.544709
107 14.578735 212.769466
108 14.586044 213.114182
109 14.849408 220.889097
110 14.703392 216.996281
111 14.563108 212.270398
112 14.402150 208.017402
113 14.754903 217.740049
114 14.768564 218.532059
115 14.640505 214.702255
116 14.365181 206.447236
117 14.483058 210.385432
118 14.164180 201.315695
119 14.578899 212.974727
120 14.593488 213.350144
121 14.474241 209.756406
122 14.329439 206.018023
123 14.669009 215.307509
124 14.024092 197.382074
125 14.409220 207.883481
126 14.824702 219.900600
127 14.871360 221.414924
128 14.984532 224.594006
129 15.066678 227.070767
130 14.822822 220.062348
131 14.741963 217.369550
132 14.228311 202.817034
133 14.041528 198.178977
134 14.790886 219.339949
135 14.465779 209.964336
136 14.877097 221.636784
137 14.169441 201.596675
138 14.513894 210.993595
139 14.990130 224.934493
140 14.742505 217.422702
141 14.101071 199.120747
142 14.354562 206.413492
143 14.139548 200.098255
144 13.808305 190.896873
145 13.698202 188.651422
146 14.311390 205.348558
147 14.132967 200.496479
148 14.276207 204.665776
149 14.331971 205.786257
150 13.880732 193.587010
151 13.735367 189.796807
152 14.220361 203.367151
153 14.057228 198.131872
154 14.351133 206.963092
155 14.646030 214.603665
156 14.662686 215.171990
157 14.384264 207.325237
158 13.682741 187.684992
159 13.728598 188.873599
160 14.652267 214.773968
161 14.522926 211.180030
162 14.458556 209.725926
163 14.436598 210.049722
164 14.676951 215.938522
165 14.678820 216.072898
166 14.785711 218.804660
167 14.611716 214.170050
168 14.168826 201.312250
169 14.718772 216.963340
170 14.400186 207.379344
171 14.690902 216.264033
172 14.126846 199.723639
173 14.033943 197.786866
174 14.061673 198.248382
175 14.283758 204.362002
176 14.078093 198.973674
177 14.251733 203.464565
178 13.920544 193.991016
179 14.168558 200.948799
180 14.383647 207.137520
181 13.948152 195.168864
182 13.796012 191.435180
183 13.741574 189.342826
184 14.104625 199.016595
185 13.902920 194.145169
186 13.693044 188.464077
187 13.521468 184.072899
188 14.158593 200.937514
189 14.088900 199.335745
190 13.663658 187.115462
191 13.668744 187.045349
192 13.966483 195.423651
193 14.378304 207.533900
194 14.099358 199.342250
195 13.826467 191.619897
196 14.270177 203.761739
197 14.227864 202.726339
198 14.182980 201.486260
199 14.245954 204.084428
200 14.205900 201.952450
201 14.384416 207.378917
202 14.072832 198.326646
203 13.921273 195.097474
204 14.221477 202.890127
205 14.420950 208.278408
206 14.273748 204.033670
207 13.910042 193.834514
208 14.202838 201.915911
209 14.067416 198.503515
210 13.928039 195.228104
211 13.947778 195.427677
212 13.979808 196.181833
213 13.851806 192.945251
214 14.128020 200.152515
215 13.896137 193.837192
216 13.669976 187.438644
217 14.090976 198.879221
218 14.354001 206.389878
219 14.261623 204.291024
220 14.561244 212.331772
221 14.238269 203.292540
222 13.946224 195.238822
223 13.797518 191.256492
224 13.892619 193.532293
225 13.275855 177.103964
226 14.123538 199.781201
227 13.639157 186.459368
228 13.976083 195.974125
229 13.709199 188.593379
230 14.057725 198.022432
231 13.667158 187.458917
232 13.786532 190.647890
233 14.241778 203.600604
234 14.230887 204.157393
235 14.094054 199.534671
236 14.257075 203.514807
237 14.296637 204.558709
238 14.385109 207.171555
239 14.538252 212.191678
240 14.019873 197.173527
241 14.562187 212.432432
242 14.061678 198.446828
243 13.664905 187.361362
244 13.988453 196.126699
245 13.639402 186.391537
246 14.020439 197.654781
247 13.900862 194.376372
248 13.138020 174.163695
249 14.326294 206.170150
250 13.782399 190.653038
251 14.628395 214.274398
252 13.724143 188.559145
253 13.891533 193.078997
254 14.767022 218.468209
255 13.920962 194.226052
256 13.766127 189.879927
257 13.815487 190.918900
258 14.203436 203.548591
259 14.494979 211.199961
260 13.979122 197.198453
261 14.052847 198.035720
262 15.073471 227.907640
263 14.655322 215.435223
264 15.240519 232.512672
265 14.815798 219.901619
266 14.673928 215.392701
267 15.127151 228.947132
268 14.218337 203.054914
269 14.270880 204.107412
270 14.887290 221.662193
271 14.624833 213.902297
272 13.727674 189.093449
273 13.985470 197.756735
274 13.994565 197.241132
275 14.316105 205.281996
276 14.698739 216.074476
277 14.092579 199.266594
278 14.449129 208.840678
279 13.584967 186.552586
280 14.538437 212.115733
281 14.486627 210.513023
282 14.076941 198.267813
283 14.417335 207.963583
284 14.366390 207.024049
285 14.537985 211.786395
286 14.151940 201.324857
287 14.931012 223.122923
288 14.731846 217.215641
289 14.176133 201.280736
290 14.199799 202.077760
291 14.271550 204.136295
292 14.543273 212.240896
293 14.184019 201.458452
294 14.240848 203.352730
295 14.119222 199.706549
296 14.562314 212.442309
297 14.341520 205.777195
298 14.554077 212.118412
299 14.568165 212.514802
300 14.082117 199.185640
301 14.037396 198.120027
302 13.706112 189.096820
303 14.303536 204.980413
304 14.042441 197.603123
305 13.660826 187.170821
306 14.057476 197.835462
307 14.111708 199.208842
308 14.121228 199.466067
309 14.433273 208.344158
310 14.722777 217.008777
311 14.411033 208.649867
312 14.380915 207.524178
313 14.157462 201.134348
314 13.993246 195.916822
315 14.388509 207.817228
316 13.798624 192.772480
317 13.841441 192.412235
318 14.777469 218.710758
319 14.178369 201.336531
320 14.387421 207.316293
321 14.380238 207.022595
322 14.946273 223.739419
323 14.081719 198.682255
324 14.701906 216.297695
325 14.520796 211.024700
326 14.353303 207.514224
327 15.049932 226.781326
328 15.255001 232.793274
329 14.688177 215.933820
330 15.000639 225.380202
331 14.836919 220.192749
332 15.300416 234.448250
333 14.598091 213.433862
334 14.779862 218.653084
335 14.701630 216.155806
336 14.492683 210.063368
337 13.412128 179.940400
338 14.479862 209.855661
339 14.722017 217.270982
340 14.075947 198.184802
341 14.559591 212.006759
342 15.102029 228.158542
343 15.285980 234.101651
344 14.258569 203.313790
345 13.197342 174.220208
346 14.029171 197.450808
347 14.389513 207.059572
348 14.386781 207.464782
349 13.869655 192.373935
350 14.356277 206.341440
351 14.915731 222.899513
352 14.047212 197.797328
353 12.934881 167.351963
354 12.896553 166.324329
355 11.464866 131.443144
356 13.449915 180.905885
357 14.662883 215.000125
358 15.267902 233.108824
359 14.979416 224.408076
360 15.255570 232.803571
361 15.433899 238.232057
362 14.635271 214.192839
363 14.770877 218.313837
364 13.937345 194.505590
365 14.012707 196.667485
366 13.441130 181.604903
367 13.600559 185.002218
368 14.397610 207.291394
369 13.710859 188.223960
370 14.036316 197.281822
371 14.730903 217.034679
372 15.089060 227.770242
